Headline,Sentiment
"Kickers on my watchlist XIDE TIT SOQ PNK CPW BPZ AJ  trade method 1 or method 2, see prev posts",POSITIVE
user: AAP MOVIE. 55% return for the FEA/GEED indicator just 15 trades for the year.  AWESOME.  ,POSITIVE
user I'd be afraid to short AMZN - they are looking like a near-monopoly in eBooks and infrastructure-as-a-service,POSITIVE
MNTA Over 12.00  ,POSITIVE
OI  Over 21.37  ,POSITIVE
PGNX  Over 3.04  ,POSITIVE
AAP - user if so then the current downtrend will break. Otherwise just a short-term correction in med-term downtrend.,NEGATIVE
Monday's relative weakness. NYX WIN TIE TAP ICE INT BMC AON C CHK BIIB  ,NEGATIVE
GOOG - ower trend line channel test & volume support.   ,POSITIVE
AAP will watch tomorrow for ONG entry.,POSITIVE
i'm assuming FCX opens tomorrow above the 34.25 trigger buy. still very much like this setup.  ,POSITIVE
"It really worries me how everyone expects the market to rally now,usually exact opposite happens every time we shall see soon bac spx jpm",POSITIVE
AAP GAMCO's arry Haverty : Apple Is Extremely Cheap  Great Video !!!,POSITIVE
user Maykiljil posted that.  I agree that MSFT is going higher & possibly north of 30,POSITIVE
Momentum is coming back to ETFC Broke MA200 resistance on solid volume Friday. ong set-up  ,POSITIVE
HA Hitting 35.65 means resume targeting 42 level ..  ,POSITIVE
user gameplan shot for today but I liked  on trend break from May or c+h break. OC weekly trend break back to july 2011,POSITIVE
with FCX gapping well above ideal entry looking for a pull in to at least 35 on open for an entry,POSITIVE
"user great list again, particularly like FISV and SYK. All buy & hold types should check the free list out.  ",POSITIVE
ATHX upper trend line   ,POSITIVE
NG - nice PNF BY - breakout - need follow thru  ,POSITIVE
Won't believe AAP uptrend is back until it crosses above MA(50),NEGATIVE
X swing still on   ,POSITIVE
SWY - 30% of float short and breaking out - ouch,POSITIVE
BIOF wants 4.90's comin!!!,POSITIVE
VS inverted head and shoulder play out well. Wasn't able to catch the entry. Eyes on it  ,POSITIVE
" red, not ready for break out.",NEGATIVE
EI close to breaking out now.  My trigger is at 30.40.   ,POSITIVE
user BAC For a quick Trade to late..But for investing ~11.98 is a good entry point IMHO,POSITIVE
"CHDN - ong   49.02. Trailing Stop  56.66 from 6 prior Stops of 54.17, 49.88, 49.82, 45.47, 43.02 & 41.92 -  ",POSITIVE
AAP VOME today is impressive. At this rate and well probably get to 30M shares traded today.,POSITIVE
"user: been adding VXY long off the bottom today for trade, also got WPI near low",NEGATIVE
"I repeat, if global economy is going to get better this year go with C instead of BAC",POSITIVE
GOOG go ONG on close above 725.,POSITIVE
NKD looking like a good short. Failed to break price level resistance at 116 today.,NEGATIVE
GS like the price action. So far holding above 130. Still deciding whether to go ONG calls or stocks.,POSITIVE
SBX buy when it clears resistance at 54.5,POSITIVE
here is NEW up target for AAP and notice shakeout reading at -8.49 ! and we had buy dot Monday  ,POSITIVE
Too early to short into this move. Stock Market needs a few days to settle down. #Patience  COH BWD DT AAP PAY,NEGATIVE
AAP obbers hit Apple Store in Paris.  Prefer to take merchendise over cash.  Bullish.  ,POSITIVE
AXA Here is my tip of the day. Buy now! You do not even have to sign up for a newsletter or anything O If I'm wrong I will eat crow :),POSITIVE
X out the 1/2 due to the move today and the Kirby on the daily around 26.00 - still swinging 1/2  ,POSITIVE
"AAP 10 min short won now longs have fully added in, look for a pop here with market,shakeout reset  ",POSITIVE
NG stellar move - still long swing - full position - I believe user & user in it 2  ,POSITIVE
ATICE & TADE SETP:  KO AN CNX,POSITIVE
IDCC 50SMA acting as a good support. Short-term momentum indicators have switched to the upside.  ,POSITIVE
"NEW POST: BAC Is At 19 Month Highs, But Showing Signs of Stress  ",POSITIVE
c two daily  bull flags on top of each other=bullish still  ,POSITIVE
NG - traditional and AT point and figure - bullish BY signals multiyear high  ,POSITIVE
jpm closed>10sma on Monday(u know my rules)...large cup n handle....still bullish  ,POSITIVE
EOG ascending triangle - original target 127 extension EPS Feb 11th? 1/2 position swing  ,POSITIVE
"aapl daily , broke downtrend(from closing prices) now w v pattern back in play.......600 target  ",POSITIVE
PHM PulteGroup Option Bear bets 1.5 Million on 11% down move by April  ,NEGATIVE
BAC In a 11.97 for a trade,POSITIVE
Short Setups displaying relative weakness: AO COH PAY BWD DT SHD WTW P Prepare to short the stall. ES_F  ,NEGATIVE
"When AMZN monetize all electronics it makes with traffic to marketplace, AAP GOOG will wake up and say why didn't we buy EBAY",POSITIVE
"CVI starting with a clean book, making first buy of the yr - entry 49.54 stop 47.43  ",POSITIVE
SAM cheers to the temporary solution to our economic woes - entry 139.81 stop 131.92  ,POSITIVE
SK to the GAVE!,NEGATIVE
ovti ttm ending Oct 2012 Negative 151 million operational cash flow.. 273% decline vs yoy ttm ending oct 2011,NEGATIVE
AAP and GOOG should respond positively to good jobless claims numbers,POSITIVE
Analyst price targets and earnings targets coming down---EXACTY what you want to see prior AAP reporting.,POSITIVE
user Nice! Color me an INTC bull as well!,POSITIVE
"Heads p: AA Earnings (1/8/13) ess Than a Week Away, Tho The Season Doesn't EAY Begin Cranking 'Til 1/16 w/ GS JPM EBAY et al...",POSITIVE
"trade idea buy WO  market 26.64, target 36, cut below 23.50  ",POSITIVE
"Trade idea buy DC  market 58.50, target 67 , cut below 53  ",POSITIVE
GOOG looks all set to make new ATH. Now before or after E is the unknown.,POSITIVE
GOOG trade this one long verse 10sma  ,POSITIVE
"FNF - ong  19.43. Trailing Stop  21.04 from 6 prior Stops of 19.71, 19.52, 18.70, 18.65, 18.07 and 17.87 -  ",POSITIVE
"FOD should see a solid move up tom, system predict nice green candle.",POSITIVE
This is the year of fitness and health apps...the winners will be gynormous and the speculation will run high  nke,POSITIVE
It's time to invest in MSFT COMPQ   ,POSITIVE
"New Post: Shorts Will Make Dimes, ongs Will Make Dollars  AAP SPX QQQ P",POSITIVE
nbelieveable payment trend that VC's are chasing has easily played out in public markets.... EBAY V and Mastercard MA all time highs,POSITIVE
Some of the watch list stocks that triggered today OEX AGNX TV VBD XIDE PPC EXP  ONTY  BMN FS WK CHMT FBC  ISI AIG,POSITIVE
Nice Bull flag breakout here OC #technology #software  ,POSITIVE
My setup alerts went bonkers today..One of many that got triggered.Cup+Handle breakout in PFE   ,POSITIVE
The host with the most....congrats to the cloud today AX and user more all-time highs.  wow,POSITIVE
X Did .S. Steel Just Breakout?  MT too,POSITIVE
DNDN has broken through the clear 5.5 resistanc level on heavy volume & could be headed much higher  ,POSITIVE
EXPE looks good for higher prices  ,POSITIVE
apc weekly setting up long.  ,POSITIVE
I am going into this morning long 3 each AAP 560 call options & GOOG 725 calls Jan 4th expiration,POSITIVE
ES_F path higher unthreatened unless 1452.25 support fails. See resistance at 1466.00 SPX #stocks.  ,POSITIVE
Monitor the S line/price dynamic. Stocks that closed Dec.28 with the S line in new highs be4 price. MHO TSM IPGP EQIX BC BDC ASH,POSITIVE
DDD IDCC continue higher,POSITIVE
"Had hoped to pick up some OST today, but looks like I'm a day too late. Nice move up this morning.",POSITIVE
GPS wow that wa s a fast fast fade...,NEGATIVE
AMZN going above 260. Should go near 300 if market behaves for a few weeks.,POSITIVE
Huston we have a GEEN AAP,POSITIVE
P long 9.55,POSITIVE
HN breakout...but 3rd day up so look for pullback to enter long.  ,POSITIVE
NG - ascend triangle much like FS & X breakouts 127 exten then 161.8 targets - fibs subjective  ,POSITIVE
KCG ... things that make you go hmmmm?  ,POSITIVE
VNG - Huge  news from patent attorney Dan avicher  ,POSITIVE
NG nhod - check the weekly - target previous lows 2006 :),POSITIVE
NG nhod - what do you see? check the weekly - target previous lows 2006 :)   ,POSITIVE
AIG American International Group Option Traders bet on 4% down move by next Friday  ,NEGATIVE
P out balance +.32,POSITIVE
VNG buys vs. Sells?,POSITIVE
BAC In  12.00 since there is consolidation  this level. We could close = > 12.09 if market is stable in pm IMHO.,POSITIVE
VNG Parabolic moves are a comin',POSITIVE
New Sony pre-owned block tech patent unearthed SNE ... 50% of GME profits from pre owned ..last one out turn off the lights,NEGATIVE
"we liked VS, we love WYNN from 111 entry to new up target yesterday at 121. very nice !   ",POSITIVE
user: SPX 1464.90 Wave iv would be 20 points lower [1467.00 KEY] ES_F HOD 1460.00 (under neckline 1458.50 very bearish) ,NEGATIVE
"DDD consolidating the strong move from previous days between 55 and 60, next buy point above 60 on volume (holding).",POSITIVE
VNG - 12 mil shares shorts plus long buying = massive VNG short squeeze. Just when you thought story was dead avicher kills short thesis,POSITIVE
"Wow, not good for BKS T user ... sales for the Nook were down 13% over the holidays  ",NEGATIVE
AC from watch list - volume did pick up and is now 139% of full day average -from 200-day bounce   ,POSITIVE
"The new wightwatchers ads are more fun and light and with regular people more interesting, but I still dont trust them WTW (no position)",NEGATIVE
AMZN holding up well - next buy point when clears this upper trend line on heavy volume  ,POSITIVE
MA exactly what you want to see a follow thru day after breaking out to new highs on volume  ,POSITIVE
ZCS user There's your buying,POSITIVE
AAP SPY no more QE for 2013. Now bring the Geithner.,NEGATIVE
Over extended stock market + unexpected news from the FED minutes = Down ESD & a panicky ES_F NQ_F.,NEGATIVE
"SPY ncle Ben needed to spice up things a little. AAP people were bored, wake up now.",NEGATIVE
AAP might close at the lows of the day. Bears will be in control again below the descending trendline. Watch it.,NEGATIVE
FAN - seeking 200d. Im adding some synthetic shorts here and will add again at 200d.,NEGATIVE
"CWST low of day 4.50, near high of day 4.56, watchn for b/out, minimal risk",POSITIVE
All of the above: gme Gamestop short targets  spy,NEGATIVE
time to get out of the #cloud stocks VMW CM,NEGATIVE
BAC Keep Overniight mmy pos. will bin premarket Tmorrow too.,POSITIVE
Polk Expects 2013 .S. New Vehicle egistrations to each 15.3 Million - Polk -  F GM I think this is low,POSITIVE
Very bullish on market  also talked trends for SCTY OST ANGI FIO  PANW A JCP P YEP MNST GPN on show.,POSITIVE
BAC what happens next?  ,NEGATIVE
KCG someone bought 3.22k 4 Jan 18 Calls....,POSITIVE
Man I didnt know about Skippy when I made this...would have thrown in a jar H #Hormel  ,POSITIVE
"Big move in bonds today, 7 months high for 10 y rate, still going lower here ZN_F, could get truly ugly if good NFP number in AM SPY TT",POSITIVE
Market Wrap Video + Additions to Watch ist  including: BCEI BJI CEE ES SONS SQNM NX YEP,POSITIVE
Maybe when vrng asked the judge for a 7% royalty it became too risky for goog to deal with?  they want to settle,POSITIVE
BJI Over 35.53 if good volume  ,POSITIVE
CEE Over 35.12  ,POSITIVE
SQNM  Over 5.05  ,POSITIVE
NX On flag break  ,POSITIVE
3D Systems Brings Next-Gen Consumer 3D Printing to CES 2013  DDD,POSITIVE
AAP will top out in April when Aston Kutcher stars in 'jOBS'.  Kinda like how Facebook did when 'Social Network' came out. FB,NEGATIVE
"VNG w/ MACD turning up & above its signal line, VNG could post a nice rally from current levels  ",POSITIVE
PI 3Q 10Q operational cash flow for 9mos -20million. 269%decline vs. 9mos year ago.,NEGATIVE
bbby 3Q 10Q Operational Cash Flow 135 million. 53 increase vs. year ago Q3. 64% improvement q o q,POSITIVE
DI 6mos operational cash flow 267 million. increases 187 million vs.6mos year ago. 233% increase,POSITIVE
AM 3Q 10Q 9mos operational cash flow 32 million vs. neg 26 mil 9mos year ago.,POSITIVE
am 3Q operational cash flow neg 16 million.  vs. year ago 3Q of negative 68million.  52 million improvement,POSITIVE
"A quiet Carl Icahn = Bullish.  NFX shorts should be paranoid on every close as they will get acquired.  Think aapl, msft, amzn, fb",POSITIVE
I am an aapl bull but cannot break this trend line in OBV   ,NEGATIVE
user Phantom7 I've been calling +4 ever since the start of this thing. 3.75 should be a given~ KCG,POSITIVE
NX on watch list above small flag on volume of 26% of ave full day so good volume  ,POSITIVE
GOOG poised to clear this next resistance (buy / add area) watch action / volume closely here   ,POSITIVE
GDP on watch list slightly over line and 50-day EMA light volume of 5% ave full day   ,POSITIVE
"Took some profits off DDD, will add if breaks 60 on volume.",POSITIVE
CHK - what I'm looking at - small risk position calls only. Scalp - maybe a swing XE watch.   ,POSITIVE
"ONTY If the holders would just hold out or raise their ask here, this could really pop. Going to climb slowly regardless...",POSITIVE
EOG PXD OAS #energyswag,POSITIVE
AAP moving down with volume. Couldnt cope with the descending trend line. Trend is still down. Perhaps 460 is not impossible after all.,NEGATIVE
AAP 50EMA continue to work as AAP is making lower highs in the MACO sense   ,NEGATIVE
"Went short SPY yesterday, should have picked AAP instead. Still think market needs to move down a bit then resume move to the upside.",NEGATIVE
AAP people be realistic. Market undecided what to do with apple. Earnings will lift that cloud. If GOOD we might EAY see a reversal.,NEGATIVE
Will watch the close carefully then decide whether to ONG or SHOT AAP. Below 530 SHOT!!!,NEGATIVE
"JCP Keep an eye on this triangle. big short int, 34%. reports Feb 27. cup & handle. at DT. ong  ",POSITIVE
sold a little goog ...first time in a while,POSITIVE
Nice cup with handle breakout on MCA,POSITIVE
FAF new highs.,POSITIVE
SPY giving AAP the finger. We don't care about you anymore lol,NEGATIVE
The Smith&Corona doing ok. AMZN,POSITIVE
"VA - ong  43.07. Trailing Stop  58.98 from 11 Stops of 54.53, 52.45, 48.05, 47.32, 46.71, ... 41.32 & 39.57 -  ",POSITIVE
AMZN alert update: a last minute push tried to shake out puts. we're hanging on for now.  ,NEGATIVE
AAP volume higher today than monday. Keep that in mind.,POSITIVE
"HB.A - ong  73.67. Trailing Stop  71.92 from 3 prior Stops of 70.86, 68.64 and 62.41 -  ",POSITIVE
"The key is not to panic here.  AAP is in the domain of twitchy day traders on robots now, but long term should hold up on fundamentals",POSITIVE
NVDA 4 hour - love to see the vol explode.   ,POSITIVE
VNG - Take a hard look at GOOG FTC settlement over patents.  FTC making GOOG play nice with VNG?  Makes Sense  ,POSITIVE
some worried I had gone OCO with my 737.71 up call for GOOG ! now at door step of nearly 40 move  ,POSITIVE
VNG its crazy that anyone listens and trades off this tool.,POSITIVE
GOOG  is getting fueled by AAP's reversal.,POSITIVE
user why make a BBY offer now when he can shave 4 more off offer price? Bid went from 24-26 to just 20 in a matter of months.,NEGATIVE
NVDA - to answer your question entry (add) was the red candle at 10:50AM today. ove flags  ,POSITIVE
"AAP 950 lot bid in the Feb 580 call at 9.50, might push the stock up or create support. 26 delta option",POSITIVE
"WPI - was on our short candidate list 12/31 and we missed it, got started short today",NEGATIVE
MYE breaking out,POSITIVE
Short HT under the 200 SMA stop just over the high of the day. First target 53.95. Second target 53.21 gap fill.,NEGATIVE
QCOM introduces StreamBoost:  average home connects up to seven devices to the Internet,POSITIVE
NVDA love to see momo this next week like previous histogram bars noted.   ,NEGATIVE
HMA unusual option activity. Trader buys 11k of the Jan 9 Put. Short term bear play,NEGATIVE
"ADBE option trader buys 5,300 of the Feb 39C against OI of 741. Bet is on stock above 39 by Feb 16th",POSITIVE
